Author's description,Publication date,Author,geology,plants,Latitude,Longitude,Latitude,Longitude,Location (State),"Institution (University of New South Wales, University of Wollongong)",Age estimate,STDEV,RADIOCARBON LAB.,,TYPE OF ANALYSIS,MATERIAL ANALYSED,MATERIAL ANALYSED,DELTA13 CORRECTION (if known),PHYSICAL PRETREATMENT,CHEMICAL PRETREATMENT,POSITION,Builder,
GH1 (base),1996,Allen,,3,31 04'00'',142 34'00'',142.6,-31.166667,Gap Range (NSW),UoW,-220,70,BETA-59077,,Conventional,WOOD,WOOD,,,,B,,
GH1 (top),1996,Allen,,3,31 04'00'',142 34'00'',142.6,-31.166667,Gap Range (NSW),UoW,-310,70,BETA-59078,,Conventional,ORGANICS,PLANT FRAGMENTS,,,,T,,
GH4 (base),1996,Allen,,3,31 04'00'',142 34'00'',142.6,-31.166667,Gap Range (NSW),UoW,-510,70,BETA-59079,,Conventional,ORGANICS,PLANT FRAGMENTS,,,,B,,
GH4 (top),1996,Allen,,3,31 04'00,142 34'00,142.566667,-31.066667,Gap Range (NSW),UoW,-460,90,BETA-59080,,Conventional,ORGANICS,PLANT FRAGMENTS,,,,T,,
GH8 (front),1996,Allen,,3,31 04'00'',142 34'00'',142.6,-31.166667,Gap Range (NSW),UoW,-2680,60,BETA-80610,,Conventional,AMBERAT,AMBERAT,,,,T,,
GH2,1996,Allen,,3,31 04'00'',142 34'00'',142.6,-31.166667,Gap Range (NSW),UoW,-280,40,BETA-86305,,AMS,WOOD,WOOD,,,,,,
GH5 (I),1996,Allen,,3,31 04'00'',142 34'00'',142.6,-31.166667,Gap Range (NSW),UoW,-270,40,BETA-86306,,AMS,SCATS,SCATS,,,,,,
GH5 (II),1996,Allen,,3,31 04'00'',142 34'00'',142.6,-31.166667,Gap Range (NSW),UoW,-530,80,BETA-86307,,Conventional,WOOD,WOOD,,,,,,
GH6 (top),1996,Allen,,3,31 04'00,142 34'00',142.566667,-31.066667,Gap Range (NSW),UoW,-3040,70,BETA-89606,,Conventional,AMBERAT,AMBERAT,,,,T,,
C7,1996,Allen,,3,30 52'00',142 36'00',142.6,-30.866667,Coturaundee Ranges (NSW),UoW,-780,80,BETA-89607,,Conventional,WOOD,WOOD,,,,,,
