trace,Identifier,Species,LAT,LONG,location,Site Description,Collector,year,month,GPS,note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,117.7,-26.917000,Wilgie Mia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,117.75,-25.067000,Sawback Range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2000),Leporillus apicalis,117.765,-25.071,Gascoyne,Cave in Sawback Range,114,,,Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,117.817,-28.550000,Breakaway ENE of Kirkalocka Hstd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2000),Leporillus apicalis,117.917,-24.05,"""Limestone gorge"" (see Remarks)",,,,,,,See accompanying email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,117.917,-24.050000,Limestone gorge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2003),Leporillus apicalis,118.1147,-29.6147,Yalgoo IBRA Region,Bimbijy Station,159,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2003),Leporillus apicalis,118.2878,-29.6817,Yalgoo IBRA Region,Bimbijy Hill,158,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,,Leporillus apicalis,118.35,-26.333,Mt Padbury-Meekatharra road,Breakaway beside,114A,,,Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,119.367,-29.367000,Breakaway on Diemals Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,,Leporillus apicalis,119.3719,-29.3761,Diemals Station,Hole in cliff,129,,,Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,119.433,-23.967000,10.7 km W of Bulloo Downs Hstd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2000),Leporillus apicalis,119.6,-24.033,Bulloo Downs Station,Breakaways by track to the east,102,,,Map,Nest pulled apart to look for bones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,,Leporillus apicalis,119.7053,-30.3606,Bungalbin Range,,128/2,,,Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,119.933,-27.050000,Breakaway 20 miles NW Yeelirrie Hstd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,120.3,-28.117000,White Cloud Cliffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,120.3017,28.1261,Pinnacles Station,White Cloud Cliffs,134,,,Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,120.533,-30.083000,Breakaways NW of Callion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,121.05,-26.417000,Millrose Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
