Year (BP),Minimum,5th Percentile,Median,95th Percentile,Maximum,Area Mean
4060,-0.578074645996,-0.332058987088,-0.0140251159668,0.872096193102,1.24464874268,0.149030203943
4050,-0.417033725315,-0.228190197415,0.015052541097,0.983553204007,1.39851328532,0.175487005896
4040,-0.556584337023,-0.32937365214,-0.0432957119412,0.808692194621,1.0651936849,0.0634531503531
4030,-1.02493320041,-0.575689951579,-0.113559892442,0.757571131388,1.04332427979,-0.0461990911155
4020,-1.18469814724,-0.77857383728,-0.114906650119,0.543751517402,0.960529581706,-0.0963032953937
4010,-1.2133166843,-0.682224985758,-0.00871904161241,0.800051930745,1.17562883165,0.036677104104
4000,-0.619600423177,-0.414227082994,0.020344458686,1.24869477166,1.59512820774,0.183850319777
3990,-0.594838290744,-0.412049619887,0.0911518520779,1.41842096965,1.65318925646,0.30014598868
3980,-0.518080986871,-0.371224822998,0.0411197238498,1.30926186456,1.89496409098,0.247104421501
3970,-0.813171725803,-0.655683059692,0.018460422092,0.917613449097,1.35274522569,0.109843113116
3960,-0.848708258735,-0.63322883606,-0.0777136908637,0.700963041517,1.23125542535,0.0121554695603
3950,-0.781839497884,-0.621520818075,0.0191200256348,0.950950580173,1.4809688992,0.122595103071
3940,-0.742818874783,-0.473292634752,-0.0093861050076,1.15623460558,1.34717288547,0.141035441991
3930,-0.9591861301,-0.622266294691,-0.0597578260634,0.992778218587,1.39792175293,0.0404740044288
3920,-1.08478529188,-0.718290447659,-0.0892843458388,0.688573972914,1.25534871419,-0.0609844751378
3910,-1.06388448079,-0.720004119873,-0.0879106309679,0.378178753323,0.735752868652,-0.108917414026
3900,-0.78617638482,-0.544486016168,-0.00165854560004,0.63792221917,1.09135657416,0.0326120028042
3890,-1.14638163249,-0.731545121935,0.0296715630425,0.669495239258,0.888408067491,0.0503856834376
3880,-0.972547743056,-0.641290054321,0.113670688205,0.983685073853,1.26323835585,0.152173887162
3870,-1.12521616618,-0.705437672933,-0.043463728163,0.637238506741,1.01535780165,-0.0172747304709
3860,-0.649280463325,-0.488012873332,-0.0577781677246,0.993527179294,1.50693664551,0.0187324434368
3850,-0.956167772081,-0.55545495775,-0.0448298136393,1.18168277317,1.53785451253,0.106284096522
3840,-0.703922526042,-0.48751727634,-0.0122812059191,1.46693075392,1.90880533854,0.218031195113
3830,-0.715755208333,-0.465359378391,0.0505827162001,1.20090730455,1.41562652588,0.203837005357
3820,-0.864133368598,-0.573357196384,0.0060060289171,0.839861492581,1.05086432563,0.0617075318421
3810,-1.10346883138,-0.549761310154,-0.00642335679796,0.70151254442,1.11823645698,0.0191453556318
3800,-1.29001990424,-0.70640425788,-0.0426141526964,0.705739890205,0.967333645291,-0.041756579613
3790,-1.14782358805,-0.698611212836,-0.0957346598307,0.512337561713,0.867625088162,-0.0927281347077
3780,-1.24569702148,-0.759431677924,-0.106538052029,0.270208858914,0.495727030436,-0.146357265424
3770,-1.46215311686,-0.853600641886,-0.0833471510145,0.205483924018,0.471751573351,-0.161583831232
3760,-1.27258385552,-0.604497002496,0.0305113050673,0.672220730252,1.1035832723,0.0504744228842
3750,-0.564718119303,-0.40944003635,0.0624998304579,0.853560926649,1.16988050673,0.110187430998
3740,-0.933732774523,-0.51069984436,-0.00316797892252,0.694183103773,1.03524932861,0.0530981282934
3730,-1.09684855143,-0.539174635145,-0.0374246385362,0.58373846266,1.07879248725,0.0134834522561
3720,-1.0148083157,-0.489124204848,-0.0167231241862,0.722307891846,1.19532928467,0.0518798794317
3710,-0.557680257161,-0.194718924628,0.073540157742,0.856222635905,1.11241251628,0.196895919899
3700,-1.21799316406,-0.613968421088,-0.0766637166341,0.415923046536,0.689100816515,-0.0704313600003
3690,-1.27506578234,-0.46849474589,-0.0323399013943,0.477181930542,0.728838941786,-0.0421461613636
3680,-1.51231723362,-0.795450931125,-0.0951032850477,0.453193427192,0.869052124023,-0.10852180944
3670,-1.03109758165,-0.551660970052,0.0247934129503,0.708866882324,0.917401462131,0.0519648343977
3660,-1.21593051487,-0.708693474664,-0.0358032226562,0.729828703139,1.10702938504,-0.0217288084903
3650,-0.852626376682,-0.600870454576,-0.0537187364366,0.823940073649,1.15865275065,0.0394004120074
3640,-1.04313490126,-0.660544459025,-0.0532379998101,0.641940765381,0.86842312283,-0.0241749988646
3630,-0.705326334635,-0.451675728692,0.0185506184896,0.879247953627,1.23510962592,0.114562159863
3620,-0.503113471137,-0.395651567247,0.0321697658963,0.942501653035,1.52314843072,0.168717287255
3610,-0.546667310927,-0.379250742594,0.184108734131,1.56983605279,2.27313673231,0.423113439352
3600,-0.487391153971,-0.365277116564,0.21593653361,1.2681598409,1.8533642239,0.321253091079
3590,-0.472449917263,-0.361606886122,0.178555636936,1.32732199775,1.52282918294,0.28787135071
3580,-0.722310723199,-0.539372651842,0.0601266649034,1.15944112142,1.37818722195,0.205800120361
3570,-0.611845737033,-0.504472283257,0.0365403917101,1.16847233242,1.53086954753,0.201064115395
3560,-0.577524820964,-0.369111531576,0.113875918918,1.1435574256,1.66835055881,0.253615607799
3550,-0.574507480197,-0.416901457045,-0.0191270616319,0.823189739651,1.14629584418,0.0908681070993
