Identifier,Species,LONG,LAT
BR1 (top),Leporillus sp.,138.6,-31.4
BR2 (middle),Leporillus sp.,138.6,-31.4
BR3 (base),Leporillus sp.,138.6,-31.4
BR3 (base),Leporillus sp.,138.6,-31.4
BR3 (top),Leporillus sp.,138.6,-31.4
BR3 (top),Leporillus sp.,138.6,-31.4
BR4 (10cm),Leporillus sp.,138.6,-31.4
BR4 (10cm),Leporillus sp.,138.6,-31.4
BR4 (10cm),Leporillus sp.,138.6,-31.4
BR4 (20cm),Leporillus sp.,138.6,-31.4
BR4 (30cm),Leporillus sp.,138.6,-31.4
BR4 (40cm),Leporillus sp.,138.6,-31.4
BR4 (50cm),Leporillus sp.,138.6,-31.4
BR4 (60cm),Leporillus sp.,138.6,-31.4
BR4 (60cm),Leporillus sp.,138.6,-31.4
BR4 (60cm),Leporillus sp.,138.6,-31.4
BR7 (base),Leporillus sp.,138.6,-31.4
BRACHINA 1 GORGE,Leporillus sp.,138.6,-31.4
BRACHINA 2,Leporillus sp.,138.6,-31.4
12737,Leporillus sp.,138.7,-31.5
107226,Leporillus sp.,138.8,-29.4
113906,Leporillus sp.,138.8,-30.3
12735,Leporillus sp.,138.8,-31.5
12654,Leporillus sp.,138.9,-32.1
12656,Leporillus sp.,138.9,-32.1
12676,Leporillus sp.,138.9,-32.1
12731,Leporillus sp.,139.1,-30.6
12569,Leporillus sp.,139.2,-30.7
12683,Leporillus sp.,139.3,-31
114227,Leporillus sp.,139.3,-30.2
12604,Leporillus sp.,139.3,-30.7
CG1,Leporillus sp.,139.3,-31
MC1 (centre),Leporillus sp.,139.3,-31
MC1 (exposed base),Leporillus sp.,139.3,-31
MC2 (overhang),Leporillus sp.,139.3,-31
MC2 (top),Leporillus sp.,139.3,-31
MC2 (top),Leporillus sp.,139.3,-31
MD3,Leporillus sp.,139.3,-31
SAJQ85L,Leporillus sp.,139.3,-31
SAJQ85L,Leporillus sp.,139.3,-31
SAJQ85R,Leporillus sp.,139.3,-31
SAJQ85R(base),Leporillus sp.,139.3,-31
SAJQ85R(base),Leporillus sp.,139.3,-31
SAJQ89,Leporillus sp.,139.3,-31
SAJQ/79i,Leporillus sp.,139.3,-30.3
SAJQ/79ii,Leporillus sp.,139.3,-30.3
SAJQ/79ii,Leporillus sp.,139.3,-30.3
SAJQ/85Li,Leporillus sp.,139.3,-30.3
SAJQ/85Lii,Leporillus sp.,139.3,-30.3
SAJQ/85Rii,Leporillus sp.,139.3,-30.3
SAJQ/85Rii,Leporillus sp.,139.3,-30.3
SAJQ76,Leporillus sp.,139.3,-30.3
SAJQ77,Leporillus sp.,139.3,-30.3
SAJQ78,Leporillus sp.,139.3,-30.3
SAJQ79,Leporillus sp.,139.3,-30.3
