specificEpithet,Latitude,Longitude,time_bp,basisOfRecord,individualCount,sex,preparations,year,country,stateProvince,locality,verbatimLocality,geodeticDatum
conditor,-30.58345,131.25,-20,HUMAN_OBSERVATION,,,,1930,Australia,South Australia,Nullarbor (RR),Nullarbor (RR),EPSG:4326
conditor,-30.45011,131.66667,-22,HUMAN_OBSERVATION,,,,1928,Australia,South Australia,,,EPSG:4326
conditor,-30.58345,131.25,-28,HUMAN_OBSERVATION,,,,1922,Australia,South Australia,Nullarbor (RR),Nullarbor (RR),EPSG:4326
conditor,-30.45011,131.66667,-29,HUMAN_OBSERVATION,,,,1921,Australia,South Australia,,,EPSG:4326
conditor,-30.55011,130.96667,-29,HUMAN_OBSERVATION,,,,1921,Australia,South Australia,,,EPSG:4326
conditor,-33.95012,141.95,-93,HUMAN_OBSERVATION,,,,1857,Australia,New South Wales,,,EPSG:4326
conditor,-32.45012,133.66666,-28,HUMAN_OBSERVATION,,,,1922,Australia,South Australia,Nuyts Archipelago (WA),Nuyts Archipelago (WA),EPSG:4326
conditor,-32.45012,133.66666,-29,HUMAN_OBSERVATION,,,,1921,Australia,South Australia,Nuyts Archipelago (WA),Nuyts Archipelago (WA),EPSG:4326
conditor,-32.45012,133.66666,-28,HUMAN_OBSERVATION,,,,1922,Australia,South Australia,Nuyts Archipelago (WA),Nuyts Archipelago (WA),EPSG:4326
conditor,-34.098499,141.917962,-93,HUMAN_OBSERVATION,,,,1857,Australia,New South Wales,locality withheld,,EPSG:4326
conditor,-30.413406,141.730081,-106,HUMAN_OBSERVATION,,,,1844,Australia,New South Wales,locality withheld,,EPSG:4326
conditor,-31.948486,141.467945,-67,HUMAN_OBSERVATION,,,,1883,Australia,New South Wales,locality withheld,,EPSG:4326
conditor,-33.948154,141.959047,-93,HUMAN_OBSERVATION,,,,1857,Australia,New South Wales,locality withheld,,EPSG:4326
conditor,-33.339714,142.398256,-106,PRESERVED_SPECIMEN,,,,1844,Australia,New South Wales,locality withheld,,EPSG:4326
conditor,-34.175676,142.23287,-93,HUMAN_OBSERVATION,,,,1857,Australia,New South Wales,locality withheld,,EPSG:4326
unknown,-31.18344,141.49999,-30,HUMAN_OBSERVATION,,,,1920,Australia,New South Wales,,,EPSG:4326
unknown,-37.83347,140.78333,-27,HUMAN_OBSERVATION,,,,1923,Australia,South Australia,,,EPSG:4326
unknown,-31.01678,125.33334,-30,HUMAN_OBSERVATION,,,,1920,Australia,Western Australia,,,EPSG:4326
unknown,-31.50011,138.74999,-60,HUMAN_OBSERVATION,,,,1890,Australia,South Australia,,,EPSG:4326
unknown,-26.18343,127.43332,-77,HUMAN_OBSERVATION,,,,1873,Australia,Western Australia,,,EPSG:4326
unknown,-32.15011,138.91665,-27,HUMAN_OBSERVATION,,,,1923,Australia,South Australia,,,EPSG:4326
unknown,-32.66679,142.33333,-106,HUMAN_OBSERVATION,,,,1844,Australia,New South Wales,,,EPSG:4326
unknown,-26.4501,130.45,-47,HUMAN_OBSERVATION,,,,1903,Australia,South Australia,,,EPSG:4326
